group_id,species_id,group_name,group_level,group_above,size,size_evidence,size_date,size_source,location_evidence,lat,long,location_source
g1,Berardius_bairdii,Resident Commander Islands beaked whales,NA,,NA,,NA,NA,"southwest coast of Bering Island, Commander Islands, ""about 175 km (109 mi) east of the Kamchatka Peninsula. Geologically they comprise the westernmost part of the Aleutian Islands""",55.0078111,166.2776921,filatova2024
g10,Chersophilus_duponti,Ebro Valley Dupont's Lark,NA,,NA,"""In study fragments, we digitally recorded a total of 216 calling individuals and 113 singing individuals from an estimated 450 males...In patches occupied by < 10 males, we recorded a slightly greater proportion of individuals (66–100%) than in larger populations (40–90%)""",NA,NA,"Ebro Valley, Spain",41.84866159,-1.657646337,laiolo2007
g11,Nectarinia_osea,Ramat-Aviv low dialect sunbirds,NA,,NA,"""60% of the males (37 territorial males), all singing the low dialect, inhabiting one area""",NA,NA,"Ramat-Aviv neighborhood, Israel",32.107476,34.795951,leader2005
g12,Megaptera_novaeangliae,Southern Hemisphere Group V,NA,,NA,,NA,NA,"Vava'u island cluster, Hunga, Nua Papu around Tonga",-18.622756,-173.9902982,eriksen2005
g13,Tursiops_aduncus,Shark Bay dolphins,NA,,NA,,NA,NA,"Eastern Gulf of Shark Bay, Western Australia 113°45′E, 25°48′S",-25.7834193,113.2987712,krutzen2005
g14,Poecile_atricapillus,Fort Collins chickadees,NA,,NA,,NA,NA,"Fort Collins, CO, US",40.5852602,-105.084423,gammon2004
g15,Loxigilla_noctis,Colony Club site finches,NA,,NA,,NA,NA,"Colony Club hotel, St. James, Barbados",13.1941412,-59.6404662,reader2002
g16,Cebus_capucinus,Lomas Barbudal capuchins,NA,,NA,20-37,NA,NA,"Guanacaste Province in Northwestern (NW) Costa Rica (Lomas Barbudal (LV) Biological Reserve [10° 30 N, 85° 22 W]",10.433333,-85.4,panger2002
g17,Cebus_capucinus,Palo Verde capuchins,NA,,19,about 19 individuals,NA,NA,"Palo Verde (PV) National Park [10° 19–10° 24 N, 85° 18–85° 25 W]",10.333333,-85.333333,panger2002
g18,Cebus_capucinus,Santa Rosa capuchins,NA,,18,about 18 individuals,NA,NA,"Santa Rosa (SR) National Park [10° 45–11° 00N, 85° 30–85° 45]",10.883611,-85.775,panger2002
