behavior,behavior_description,behavior_source,start_date,end_date,vertical,vertical_evidence,vertical_source,horizontal,horizontal_evidence,horizontal_source,oblique,oblique_evidence,oblique_source,domains,domains_evidence,domains_source,anth_effects,anth_source,group_id,behavior_id
Alcatraz Western gulls foraging preference,"foraging specialization of fish or human refuse ""The diets of individual pairs showed considerable variation in proportion of these two primary food sources, with pair diets ranging from those consisting almost entirely of fish to those consisting entirely of human refuse (Fig. 6). The single most common diet was represented by 23 pairs (21%) that were never observed to take fish during their breeding life-spans. Most of these pairs bred for only one season and failed to fledge any offspring; only one of these pairs bred for as many as three seasons, and only two fledged as many as two chicks over their breeding life-spans...Diets of male, but not female, recruits were correlated with diets of their parents…we examine the diets of banded offspring produced on our study colony that returned to breed within the colony. All 11 banded chicks in this category were male, and established breeding territories that were within 50 m of their natal territories…Female gulls are less philopatric than males, as was expected; in general, male birds show much stronger natal philopatry than do females (Greenwood 1980, Greenwood and Harvey 1982). In contrast to male recruits, banded female offspring during their first year of breeding showed no dietary relationship to their parents...In gulls, the dominant offspring within a brood is known to defend one or both of its parents against its siblings as a ""feeding territory"" away from the natal colony (Drury and Smith 1968). The dominant offspring is typically the oldest and largest male within a brood, or the sole surviving male (Briggs 1977; R. Pierotti, unpublished data)….This suggests that the large numbers of birds that feed largely or primarily on human refuse (scavengers) are probably excluded siblings (females and smaller males), which are prevented by their dominant sibling from accompanying their parent(s) during foraging, and which congregate around predictable sources of lower quality food, such as refuse dumps, picnic areas, or intertidal zones (e.g., Niebuhr 1983, Sibly and McLeery 1983, Irons et al. 1986). This would also explain why most birds do not take fish, because successful breeding pairs often produce two subordinate chicks for each dominant chick.” (Annett & Pierotti 1999)",annettpierotti1999,1983,1994,yes,"""Most recruits to our colony do not take large amounts of fish in their diets. Therefore, the tendency to take fish is probably passed from parents to offspring by other than genetic means, possibly through learning. Our results raise the question of how a preference for fish could be passed from parents to sons, but apparently not to daughters…Around predictable food sources such as refuse, young gulls learn to forage from other birds, i.e., through horizontal transmission of an acquired trait (Feldman and Laland 1996)"" (Annett & Pierotti 1999)",annettpierotti1999,yes,"“Most recruits to our colony do not take large amounts of fish in their diets. Therefore, the tendency to take fish is probably passed from parents to offspring by other than genetic means, possibly through learning. Our results raise the question of how a preference for fish could be passed from parents to sons, but apparently not to daughters…Around predictable food sources such as refuse, young gulls learn to forage from other birds, i.e., through horizontal transmission of an acquired trait (Feldman and Laland 1996)”",annettpierotti1999,suspected unknown,suspected unknown,suspected unknown,foraging; mating,"diet determining breeding success: ""there is a strong, positive relationship between the amount of fish taken by individual pairs and their breeding life-span"" (Annett & Pierotti 1999)",annettpierotti1999,"alternative diet to fish (natural prey of gulls) is human refuse, which limits breeding success",annettpierotti1999,700000,2
Amboseli elephant population elephant rumbles,"Elephants use low-frequency calls known as rumbles, which are distinct based on individual identity and change with age. Adults female elephants in Amboseli population used lower frequency rumbles than those in Samburu population. Primary social unit is core group < bond group < clan; there seem to be multiple clans in each population. These populations are in similar acoustic environments and do not differ on average in body size. ""In elephants, vocal production learning seems more likely than usage learning to explain the population differences we observed, given that they were structural differences in a single call type. However, we cannot definitively rule out the possibility that Amboseli and Samburu elephants share the same repertoire of rumble subtypes but differ in the contexts in which each subtype is used, thus leading to an average difference in the fundamental frequency of rumbles recorded from the two populations."" (Pardo et al. 2024)",pardo2024,not searched,not searched,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,vocal communication; social,,pardo2024,"""Elephants are often translocated between populations to facilitate gene flow, reduce ecological damage caused by local overcrowding or mitigate human–elephant conflict [32,69]. Our finding that elephant populations less than 400 km apart exhibit significant differences in the structure of their rumble vocalizations could thus have important implications for elephant conservation, especially if the differences are found to result from cultural or genetic divergence, rather than acute responses to local environmental conditions...Further study is warranted to determine whether vocal differences between elephant populations impede communication or social integration. If so, translocation efforts should attempt to quantify and account for behavioural compatibility between populations when deciding where to move individuals, to the extent that it is feasible to do so."" (Pardo et al. 2024)",pardo2024,700001,3
Armidale shrike-tits sex-specific foraging,"Crested shrike-tits are known for using beak to bark-strip and forage for invertebrates. Forages in small groups and sexually dimorphic with males larger with proportionally larger bills. At Wollomombi, sex-specific foraging in [] substrate. ""At both sites males visited dead branches and thick ribbons in eucalypts significantly more than females, which concentrated on leaves, petioles and galls in the canopy...At Wollomombi Falls, where males were observed more than twice as much as females, shrike-tits apparently spent about two-thirds of their time on various bark substrates, and the remainder on foliage. Yet at the Armidale sites, where males and females were sampled more equitably, foliage-and bark-foraging were recorded equally frequently"" (Noske 2003)",noske2003,not searched,not searched,suspected unknown,“Another possible mechanism is that young birds learn to forage in their sex-speciﬁc niche by following adults of their own sex. Such cultural transmission of foraging behaviour may be facilitated in shrike-tits by their exceptionally long period of parental care (Noske 2003)”,noske2003,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,foraging,,noske2003,not searched,not searched,700002,4
Avacha acoustic clan discrete calls,"Pulsed calls that are one of the vocalizations produced by killer whales alongside whistles and echolocation. ""Most killer whale pulsed signals fall into discrete call types with higher or lesser variability inside them (Ford 1984)....The fact that all of the discrete calls of Southeast Kamchatka resident killer whales can be divided into several distinctive structural classes suggests that they have some rules defining the structure of the calls. These rules are not common for killer whales as a whole. For example, calls of transient killer whales from Southeast Kamchatka and killer whales from Sakhalin region do not obey these rules. Thus these rules are presumably the cultural tradition of Southeast Kamchatka resident killer whales...The acoustic markers of community membership - in the case of Southeast Kamchatka killer whales, with phonotactics - could help prevent the division of the community and, hence, a loss of potential mates if we assume that ""vocal tradition"" is a cultural tradition applied to vocal behaviour, then, to a great extent, all resident killer whales from Southeast Kamchatka share the same vocal tradition. Still, some of them share no call types, and, following Ford's (1991) definition of ""clan"", belong to different clans."" (Filatova et al. 2007). ""The dialect of each group always contains Biph l class calls and squeak-like Moph l class calls. Besides this, all groups from Avacha clan produce Biph 2 class calls, and some of them additionally produce Moph 2 class calls."" (Filatova et al. 2007, p. 270).",filatova2007,2001,2006,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,vocal communication; social,,filatova2007,not searched,not searched,700003,5
Bossou chimpanzees pestle-pounding,"sometimes part of petiole-feeding ""The entire behavior consists of two discrete processes: the first does not require tools, but the second does. The behavior typically begins when a chimpanzee enters the crown of an oil-palm tree. The chimpanzee then tries to push the radiating mature leaves down to expose the top of the trunk from which a new shoot is growing. Next, it grasps a bunch of young shoots and pulls it out with force. ...This circuit of procedural components does not require tools and will be referred to as petiole-feeding behavior, as opposed to the following process, which is termed pestle-pounding behavior (Humle and Matsuzawa 2004)....[pestle-pounding] The chimpanzee picks up an abandoned shoot, inserts it into the vertical hole, and then pounds several times, deepening the hole (Fig. 10.2). After this pounding, the petiole is withdrawn and the chimpanzee licks its basal end, to which juice and white fibrous matter is attached. It then inserts its arm, often up to the shoulder, into the hole to extract white matter to eat."" (Yamakoshi et al. 2011)",yamakoshi2011,not searched,not searched,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,foraging,,yamakoshi2011,"""local people are very tolerant about the chimpanzees using oil palms in the fallow bush. This tolerance may be related to the fact that the tree is superabundant, or because the villagers consider oil-palm trees to be common property; everyone is free to harvest fruits or leaves as construction materials. They may extend these rules to the chimpanzees (Yamakoshi 1999)...Bossou village has a deliberately arranged local design, which may be considered a traditional buffer zone system. The system was, no doubt, based on the local human culture in palm-belt areas of West Africa (Hartley 1988)...petiole feeding and pestle pounding by Bossou chimpanzee do not appear to cause the immediate deaths of the target palm trees. However, any long-term effects remain unknown"" (yamakoshi et al. 2011)",yamakoshi2011,700004,6
Bossou chimpanzees ant-dipping,"preying on army ants using both ""one-handed, direct-mouthing technique"" and ""two-handed, pull-through technique"" (observed at Taï and Gombe only respectively). Bossou chimpanzees use longer tools for epigaeic ants and shorter tools for intermetiade ants, while those at Taï use only short tools and only hunt intermediate ants. ""Ant speed explained differences in tool length within Bossou but not between Bossou and Ta€ı. Our results do not support an ecological basis underlying the lack of dipping at ant trails in Ta€ı chimpanzees. Finally, neither ant aggressiveness (measured as speed and persistence) nor yield when using tools could explain why, unlike Bossou chimpanzees, Tai chimpanzees do not use tools to harvest epigaeic species. We conclude that an interaction of cultural and ecological factors shapes the differences in army ant predation between Ta€ı and Bossou chimpanzees."" (Möbius et al. 2008)",moebius2008,not searched,not searched,yes,"""We present data for 13 mother–offspring pairs (1–10 years old). Mothers with young ≤5 years old dipped significantly more often at trails than at nests, thus minimizing the risk posed to themselves and their young. Infants thus benefited from better conditions to observe and practice ant-dipping."" (Humle et al. 2009)",humle2009,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,foraging,,humle2009,not searched,not searched,700004,7
Bossou chimpanzees human snare deactivation,"Bossou chimpanzees live close to human settlements and local hunters use wire snares. Authors describe 6 instances of 5 males in this group trying to deactivate snares, and rareness of snare injuries in this group compared with other chimpanzee sites. ""The observations presented in this study indicate that some chimpanzees at Bossou recognize snares as dangerous objects, and that they can safely deactivate them while avoiding injury. Moreover, the chimpanzees appear to know which parts of the snare are dangerous and which are not. In all of the cases, they touched or grasped the arched stick of the snares, while completely avoiding the looped wire...Snare deactivation by chimpanzees has not been observed at other study sites"" (Ohashi & Matsuzawa 2011)",ohashimatsuzawa2011,not searched,not searched,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,maybe,"""Long-term exposure to snares may have allowed Bossou chimpanzees to learn about the dangers associated with them, and possibly how to interact safely with and eventually deactivate them. It is also possible that these initial active responses to snares have been passed down through the generations and carried on in the group as culture. Indeed, when the adult male broke the snare in case 1, another juvenile male closely observed the situation and subsequently also interacted with the snare. Of the 6 cases presented, 5 out of 6 males in the group (excluding infants) actively responded to snares in some form...these acquired responses and the ability of chimpanzees to interact safely with snares can probably explain the rarity of snare injuries in the Bossou group."" (Ohashi & Matsuzawa 2011)",ohashimatsuzawa2011,antipredation,,ohashimatsuzawa2011,not searched,not searched,700004,8
Bwindi Kyagurilo gorilla group teeth tree climbing,"using teeth as another limb when climbing trees, customary in Bwindi site and absent at other sites (Robbins et al. 2016)",robbins2016,not searched,not searched,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,other,,robbins2016,not searched,not searched,700005,9
Cananéia Estuary Guiana dolphins beach hunting,"use of sloping beaches (among this population) and surging out of water to catch fish on beach. Frequent fast swim conducted by one or more dolphins in shallow waters...chasing an individual or school of fish for several meters parallel to and close to the beach surface. Two strategies observed: ""waiting"", where dolphins ""approached shallow waters in order to wait for a school of fish"" and “beach attack”, in dolphins ""herded a school of fish from deeper to shallower waters and suddenly tried to “corner” the fish very close to the shore"" (Santos et al. 2010). possible environmental drivers include estuarine conditions, shallow waters near beaches, presence of prey species like mullets and sciaenids",santos2010,not searched,not searched,suspected unknown,"authors describe beach hunting likely as a female-biased strategy, with possible vertical transmission based on mother-offspring associations. Calves start displaying bouts in their first year close to, or with, their mothers. (Santos et al. 2010)",santos2010,no,"beach hunters associations not consistent; ""the Monte Carlo method showed that beach hunters associated randomly, without there being any preferred dyads."" (Santos et al. 2010)",santos2010,suspected unknown,suspected unknown,suspected unknown,foraging,,santos2010,"tourist attention to beach hunting; also use of boats for fishing and recreation may pose risk to animals from boat propeller, noise interference with dolphin communication, and feeding by humans (Santos et al. 2010)",santos2010,700006,10
Chatham Island population songs,New Zealand chaffinches have songs with elaborate end phrases; these are not present in the Chatham offshoot population. Small population w/ reduced number of phrases (Baker & Jenkins 1987),baker1987,1981,1985,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,maybe,"""The major finding of the study is that the syllable pool in the isolated Chatham population is depauperate relative to those in the New Zealand population. The Chatham Island songs, however, have not diverged greatly because 18 of the 20 Chatham syllable types are also present in New Zealand. It is concluded that the Chatham Islands were colonized by a small number of founders who had already learnt their syllables and songs from adult conspecifics in New Zealand."" (Baker 1987)",baker1987,vocal communication; mating,,baker1987,not searched,not searched,700007,11
