"group_id","species_id","group_name","group_level","group_above","size","size_evidence","size_date","size_source","location_evidence","location_source","lat","long"
700000,"Larus_occidentalis","Alcatraz Western gulls","not searched","not searched","not searched","101 pairs monitored","not searched","not searched","Alcatraz Island, CA, US","annettpierotti1999",37.827,-122.423
700001,"Loxodonta_africana","Amboseli elephant population","3","not searched","988","see source","1993","mccomb2000","Amboseli National Park, Kenya","pardo2024",-2.653,37.261
700002,"Falcunculus_frontatus","Armidale shrike-tits","not searched","not searched","not searched","not searched","not searched","not searched","Imbota Nature Reserve, New South Wales","noske2003",-30.573,151.721
700003,"Orcinus_orca","Avacha acoustic clan","2","Avacha Gulf resident killer whales","200","""Avacha clan, consisting of more than 200 whales in at least 12 pods""","","","Avacha Gulf, Kamchatka, Sea of Okhotsk","filatova2007",61.434,166.788
700004,"Pan_troglodytes_verus","Bossou chimpanzees","not searched","not searched","20","""Group size at Bossou has been maintained at around 20 throughout the study period of 26 years"" (Sugiyama 2004)","2004","sugiyama2004","Bossou, Republic of Guinea","ohashimatsuzawa2011",7.648,-8.505
700005,"Gorilla_beringei_beringei","Bwindi Kyagurilo gorilla group","not searched","not searched","15","ranged from 9 to 21 during study period 1998 to 2011","2005","robbins2016","Bwindi Impenetrable National Park, Uganda","robbins2016",-1,29.667
700006,"Sotalia_guianensis","Cananéia Estuary Guiana dolphins","not searched","not searched","not searched","not searched","not searched","not searched","Cananéia Estuary, Brazil","santos2010",-25.011,-47.93
700007,"Fringilla_coelebs","Chatham Island population","not searched","not searched","not searched","not searched","not searched","not searched","Chatham Island","baker1987",-43.927,-176.459
700008,"Loxigilla_noctis","Colony Club site finches","not searched","not searched","not searched","not searched","not searched","not searched","Colony Club hotel, St. James, Barbados","reader2002",13.194,-59.64
700009,"Cervus_canadensis","Colorado elk group","not searched","not searched","not searched","not searched","not searched","not searched","Rock Mountain National Park, Colorado","nelsonreinier2023",39.55,-105.782
700010,"Melospiza_georgiana","Conneaut Lake swamp sparrows","not searched","not searched","not searched","not searched","not searched","not searched","Conneaut Lake, Pennsylvania, U.S","nowicki2001",41.603,-80.305
700011,"Molothrus_ater","Convict dialect brown-headed cowbirds","not searched","not searched","not searched","not searched","not searched","not searched","Convict Lake, California","ologhlen1995",37.59,-118.858
700012,"Philesturnus_rufusater","Cuvier saddlebacks","not searched","not searched","56","""There were 28 pairs living in the study area when the study began. Of these, 12 individuals were survivors from the original liberation while the other 16 were Cuvier-bred birds . The population increased to 50 pairs in 1971 to 72, dropped to 45 pairs in 1972 to 73 and rose again to 48 pairs in 1973 to 74. The two original colonizers which were still living at that time were at least 7 years old"" (Jenkins 1978)","1974","jenkins1978","Cuvier Island","jenkins1978",-36.435,175.769
700013,"Pan_troglodytes","CWOT chimpanzees group 1","0","not searched","23","see source","2011","vanleeuwen2012","Chimfunshi Wildlife Orphanage Trust","vanleeuwen2012",-12.364,27.469
700014,"Pan_troglodytes","CWOT chimpanzees group 2","0","not searched","40","see source","2011","vanleeuwen2012","Chimfunshi Wildlife Orphanage Trust","vanleeuwen2012",-12.364,27.469
700015,"Delphinapterus_leucas","eastern Hudson Bay beluga stock","not searched","not searched","3300","see source","2009","colbeck2013","eastern Hudson Bay, Canada","colbeck2013",59.51,-80.72
700016,"Pan_troglodytes_troglodytes","Ebo forest chimpanzees","not searched","not searched","not searched","not searched","not searched","not searched","Ebo forest, south-western Cameroon","morganabwe2006",4.36,10.23
700017,"Chersophilus_duponti","Ebro Valley Dupont's Lark","not searched","not searched","not searched","""In study fragments, we digitally recorded a total of 216 calling individuals and 113 singing individuals from an estimated 450 males...In patches occupied by < 10 males, we recorded a slightly greater proportion of individuals (66–100%) than in larger populations (40–90%)""","not searched","not searched","Ebro Valley, Spain","laiolo2007",41.849,-1.658
