group_id,group_name,species_id,group_level,group_above,size,size_evidence,size_date,size_source,location_evidence,location_source,lat,long
700000,Alcatraz Western gulls,Larus_occidentalis,not searched,not searched,not searched,101 pairs monitored,not searched,not searched,"Alcatraz Island, CA, US",annettpierotti1999,37.827,-122.423
700001,Amboseli elephant population,Loxodonta_africana,3,not searched,988,see source,1993,mccomb2000,"Amboseli National Park, Kenya",pardo2024,-2.653,37.261
700002,Armidale shrike-tits,Falcunculus_frontatus,not searched,not searched,not searched,not searched,not searched,not searched,"Imbota Nature Reserve, New South Wales",noske2003,-30.573,151.721
700003,Avacha acoustic clan,Orcinus_orca,2,Avacha Gulf resident killer whales,200,"""Avacha clan, consisting of more than 200 whales in at least 12 pods""",,,"Avacha Gulf, Kamchatka, Sea of Okhotsk",filatova2007,61.434,166.788
700004,Bossou chimpanzees,Pan_troglodytes_verus,not searched,not searched,20,"""Group size at Bossou has been maintained at around 20 throughout the study period of 26 years"" (Sugiyama 2004)",2004,sugiyama2004,"Bossou, Republic of Guinea",ohashimatsuzawa2011,7.648,-8.505
700005,Bwindi Kyagurilo gorilla group,Gorilla_beringei_beringei,0,not searched,15,ranged from 9 to 21 during study period 1998 to 2011,2005,robbins2016,"Bwindi Impenetrable National Park, Uganda",robbins2016,-1,29.667
700006,Cananéia Estuary Guiana dolphins,Sotalia_guianensis,not searched,not searched,not searched,not searched,not searched,not searched,"Cananéia Estuary, Brazil",santos2010,-25.011,-47.93
700007,Chatham Island population,Fringilla_coelebs,not searched,not searched,not searched,not searched,not searched,not searched,Chatham Island,baker1987,-43.927,-176.459
700008,Colony Club site finches,Loxigilla_noctis,not searched,not searched,not searched,not searched,not searched,not searched,"Colony Club hotel, St. James, Barbados",reader2002,13.194,-59.64
700009,Colorado elk group,Cervus_canadensis,not searched,not searched,not searched,not searched,not searched,not searched,"Rock Mountain National Park, Colorado",nelsonreinier2023,39.55,-105.782
700010,Conneaut Lake swamp sparrows,Melospiza_georgiana,not searched,not searched,not searched,not searched,not searched,not searched,"Conneaut Lake, Pennsylvania, U.S",nowicki2001,41.603,-80.305
700011,Convict dialect brown-headed cowbirds,Molothrus_ater,not searched,not searched,not searched,not searched,not searched,not searched,"Convict Lake, California",ologhlen1995,37.59,-118.858
700012,Cuvier saddlebacks,Philesturnus_rufusater,not searched,not searched,56,"""There were 28 pairs living in the study area when the study began. Of these, 12 individuals were survivors from the original liberation while the other 16 were Cuvier-bred birds . The population increased to 50 pairs in 1971 to 72, dropped to 45 pairs in 1972 to 73 and rose again to 48 pairs in 1973 to 74. The two original colonizers which were still living at that time were at least 7 years old"" (Jenkins 1978)",1974,jenkins1978,Cuvier Island,jenkins1978,-36.435,175.769
700013,CWOT chimpanzees group 1,Pan_troglodytes,0,not searched,23,see source,2011,vanleeuwen2012,Chimfunshi Wildlife Orphanage Trust,vanleeuwen2012,-12.364,27.469
700014,CWOT chimpanzees group 2,Pan_troglodytes,0,not searched,40,see source,2011,vanleeuwen2012,Chimfunshi Wildlife Orphanage Trust,vanleeuwen2012,-12.364,27.469
700015,eastern Hudson Bay beluga stock,Delphinapterus_leucas,not searched,not searched,3300,see source,2009,colbeck2013,"eastern Hudson Bay, Canada",colbeck2013,59.51,-80.72
700016,Ebo forest chimpanzees,Pan_troglodytes_troglodytes,not searched,not searched,not searched,not searched,not searched,not searched,"Ebo forest, south-western Cameroon",morganabwe2006,4.36,10.23
700017,Ebro Valley Dupont's Lark,Chersophilus_duponti,not searched,not searched,not searched,"""In study fragments, we digitally recorded a total of 216 calling individuals and 113 singing individuals from an estimated 450 males...In patches occupied by < 10 males, we recorded a slightly greater proportion of individuals (66–100%) than in larger populations (40–90%)""",not searched,not searched,"Ebro Valley, Spain",laiolo2007,41.849,-1.658
700018,EE-WW East dialect ravens,Corvus_corax,not searched,not searched,46,46 known breeding pairs total in region,not searched,enggist2002,"""south of Bern, Switzerland (46º57'N, 7º30'E)""",enggist2002,46.948,7.447
700019,En Gedi sunbirds,Cinnyris_osea,not searched,Palestine sunbirds,not searched,not searched,not searched,not searched,"En Gedi, Dead Sea",yoktan2011,31.451,35.384
700020,Environmental Learning Center (ELC) black-capped chickadees,Poecile_atricapillus,not searched,not searched,not searched,not searched,not searched,not searched,"Environmental Learning Center along Cache La Poudre River in Fort Collins, Colorado",baker2000,40.556,-105.02
700021,False Bay dialect forest weavers,Ploceus_bicolor_stictifrons,not searched,not searched,not searched,not searched,not searched,not searched,False Bay Park (S 27±580; E 32±210,seibt2002,-27.967,32.35
700022,Farfan cacique colony,Cacicus_cela_vitellinus,not searched,not searched,suspected unknown,suspected unknown,suspected unknown,suspected unknown,"Farfan, Panama",trainer1989,8.932,-79.58
700023,Formosan lesser horseshoe bats populations 1-20,Rhinolophus_monoceros,not searched,not searched,not searched,not searched,not searched,not searched,Taiwan,chen2009,23.698,120.961
700024,Fort Collins chickadees,Poecile_atricapillus,not searched,not searched,not searched,not searched,not searched,not searched,"Fort Collins, CO, US",gammonbaker2004,40.585,-105.084
700025,George Reserve Indigo buntings,Passerina_cyanea,not searched,not searched,130,authors recorded 80-180 males in each area (Payne 1996),1995,payne1996,"E.S. George Reserve, southern Michigan",payne1996,42.458,-84.011
700026,Grande Terre New Caledonian crows,Corvus_moneduloides,not searched,New Caledonian crows,not searched,not searched,not searched,not searched,"Grande Terre, New Caledonia",bluff2010,-21.311,165.434
700027,Gulf of Alaska sperm whales,Physeter_macrocephalus,not searched,not searched,not searched,not searched,not searched,not searched,Gulf of Alaska,schakner2014,0,-144
700028,Gulf of Maine humpback whales,Megaptera_novaeangliae,not searched,not searched,not searched,not searched,not searched,not searched,Gulf of Maine,not searched,43.134,-68.327
700029,Hainan caves leafnosed bats,Hipposideros_larvatus,not searched,not searched,not searched,not searched,not searched,not searched,Hainan Island,jiang2010,20.02,110.349
700030,Hato Masaguaral wrens,Campylorhynchus_nuchalis,not searched,not searched,not searched,"groups are made of a breeding pair and up to 12 non-breeding alloparents, usually offspring from previous years who have not dispersed. authors recorded calls from 46 breeding males, 22 male helpers, and 14 females from 30 groups (Price 1998)",,,"Hato Masaguaral cattle ranch, 300 km south of Caracas, Venezuela",price1998,10.481,-66.904
700031,Hluhluwe Park dialect forest weavers,Ploceus_bicolor_stictifrons,not searched,not searched,not searched,not searched,not searched,not searched,Hluhluwe Imfolozi Game Reserve,seibt2002,-28.062,32.141
700032,Hluhluwe River dialect forest weavers,Ploceus_bicolor_stictifrons,not searched,not searched,not searched,not searched,not searched,not searched,"""We recorded this song type at Maphumulo (S 28±070; E 32±060) as well as at Siwasamakhosikazi (S 28±080; E 31±590).""",seibt2002,-28.117,32.1
700033,Howard dialect caciques,Cacicus_cela_vitellinus,not searched,not searched,suspected unknown,suspected unknown,suspected unknown,suspected unknown,"Vera Cruz, Panama",trainer1989,8.888,-79.642
700034,Israeli cypress population,Rattus_rattus,not searched,not searched,not searched,not searched,not searched,not searched,"Kibbutz Ramot Menashe, Israel",terkel1995,32.598,35.059
700035,Israeli pine cone population,Rattus_rattus,not searched,not searched,not searched,not searched,not searched,not searched,"Kibbutz Ramot Menashe, Israel",terkel1995,32.598,35.059
700036,Istállós-kői-cave foraging tits,Parus_major,not searched,not searched,not searched,not searched,not searched,not searched,"Istállós-kői-cave, Bükk Mountains, Hungary",estok2010,48.072,20.417
